,KIC,KOI,Kepler,Period,Rp/R*,Status
7119,11176166,5875.01, Kepler-1639 b ,9.87867208,0.020066, PPPP
7120,11176166,5875.02,               ,4.27436522,0.015095, PPFP
7126,11251991,5881.01,               ,134.3667525,0.009219, PPNN
7128,11305417,5883.01,               ,198.8067237,0.00967, PPNN
7131,11341266,5886.01,               ,284.8731328,0.010373, PPNN
7134,11351454,5889.01,               ,374.4259959,0.018105, PPNF
7140,11407847,5895.01,               ,11.83051703,0.010613, PPPP
7141,11414368,5896.01,               ,434.1820506,0.024031, PPNN
7142,11444772,5897.01,               ,396.0161242,0.026128, PPNN
7144,11446961,5899.01,               ,58.66925791,0.01122, PPNP
7145,11453930,5900.01,               ,355.8693366,0.010776, PPNN
7147,11456256,5901.01,               ,61.61134909,0.008521, PPPN
7155,11520114,5909.01,               ,7.07995853,0.016163, PPPP
7158,11598638,5912.01,               ,359.8555956,0.015259, PPNN
7161,11599937,5915.01,               ,37.62591606,0.018798, PPFF
7163,11601425,5917.01,               ,41.99346231,0.015912, PPPP
7165,11601972,5919.01,               ,290.1954363,0.015502, PPFN
7169,11615521,5923.01,               ,366.6852198,0.01864, PPNN
7175,11716643,5929.01,               ,466.0038273,0.049987, PPPP
7178,11803074,5932.01,               ,355.8617733,0.032008, PPPN
